"","date","events","cloud_cover","max_dew_point_f","max_gust_speed_mph","max_humidity","max_sea_level_pressure_in","max_temperature_f","max_visibility_miles","max_wind_speed_mph","mean_humidity","mean_sea_level_pressure_in","mean_temperature_f","mean_visibility_miles","mean_wind_speed_mph","mean_dew_point_f","min_dew_point_f","min_humidity","min_sea_level_pressure_in","min_temperature_f","min_visibility_miles","precipitation_in","wind_dir_degrees"
"21",2014-12-28,"Rain",8,42,31,76,29.99,52,10,22,65,29.87,46,10,14,35,27,53,29.77,40,10,0.01,252
"22",2014-12-29,"None",4,26,22,64,30.22,41,10,15,51,30.12,36,10,9,20,10,37,30,30,10,0,288
"23",2014-12-03,"Rain",8,49,38,100,30.4,51,10,29,79,30.07,44,5,12,42,24,57,29.87,37,1,0.44,254
"24",2014-12-30,"None",2,10,21,50,30.36,30,10,16,38,30.32,26,10,10,4,-6,26,30.23,22,10,0,313
"25",2014-12-31,"None",1,8,22,57,30.32,30,10,17,44,30.25,25,10,9,5,1,31,30.13,20,10,0,269
"26",2014-12-04,"None",3,24,33,69,30.56,43,10,25,54,30.33,37,10,12,21,13,39,30.09,30,10,0,292
"27",2014-12-05,"Rain",5,37,26,85,30.68,42,10,22,66,30.59,34,10,10,25,12,47,30.45,26,5,0.11,61
"28",2014-12-06,"Rain",8,45,25,100,30.42,45,10,22,93,30.24,42,4,8,40,36,85,30.16,38,0,1.09,313
"29",2014-12-07,"Rain",6,36,32,92,30.69,38,10,25,61,30.46,30,10,15,20,-3,29,30.24,21,5,0.13,350
"30",2014-12-08,"Snow",8,28,28,92,30.77,29,10,21,70,30.67,24,8,13,16,3,47,30.51,18,2,0.03,354
"31",2014-12-09,"Rain",8,49,52,100,30.51,49,10,38,93,30.04,39,2,20,41,28,86,29.49,29,1,2.9,38
"32",2015-01-01,"None",3,16,29,53,30.1,33,10,23,43,30,28,10,14,8,5,32,29.92,22,10,0,230
"33",2015-01-10,"None",1,8,23,62,30.5,24,10,20,49,30.34,21,10,12,3,-2,35,30.15,17,10,0,263
"34",2015-01-11,"None",6,22,24,63,30.66,33,10,17,49,30.58,24,10,10,6,-1,34,30.48,15,10,0,226
"35",2015-01-12,"Rain",8,36,23,100,30.45,38,10,17,72,30.23,36,7,9,28,17,44,30.11,33,1,0.2,242
"36",2015-01-13,"None",3,25,26,75,30.67,35,10,21,56,30.52,25,10,11,5,-4,36,30.19,15,10,0,347
"37",2015-01-14,"Snow",8,21,16,88,30.61,25,10,13,67,30.4,20,10,9,10,-4,46,30.18,14,6,0,323
"38",2015-01-15,"Fog-Snow",8,27,21,92,30.18,31,10,15,78,30,28,5,10,24,13,63,29.81,25,0,0.12,302
"39",2015-01-16,"None",2,21,39,71,30.11,38,10,29,52,29.82,27,10,16,10,-4,33,29.68,15,9,0,263
"40",2015-01-17,"None",1,11,31,67,30.38,22,10,22,46,30.31,16,10,11,-3,-9,25,30.14,9,10,0,253
"41",2015-01-18,"Rain",8,45,33,93,30.26,51,10,26,80,29.93,36,10,10,35,13,67,29.55,20,5,0.15,164
"42",2015-01-19,"None",3,43,31,86,29.73,46,10,23,70,29.65,39,10,15,30,20,53,29.55,32,10,0,262
"43",2015-01-02,"None",3,17,32,53,30.45,41,10,26,45,30.13,36,10,13,15,11,37,29.95,31,10,0,260
"44",2015-01-20,"None",3,20,30,59,29.98,39,10,23,44,29.83,33,10,14,13,5,29,29.75,27,10,0,270
"45",2015-01-21,"None",5,25,20,75,30.21,34,10,14,57,30.15,28,10,7,14,5,38,30,22,10,0,357
"46",2015-01-22,"Snow",6,26,17,78,30.22,37,10,14,67,30.19,33,10,7,22,19,56,30.16,29,8,0,335
"47",2015-01-23,"None",2,20,22,68,30.28,37,10,16,54,30.15,31,10,10,15,9,39,29.93,24,10,0,259
"48",2015-01-24,"Fog-Rain-Snow",8,32,24,100,29.92,34,10,18,82,29.52,33,3,10,29,21,63,29.16,31,0,0.71,290
"49",2015-01-25,"None",4,28,33,78,30.04,38,10,25,55,29.66,29,10,14,17,4,32,29.31,19,10,0,284
"50",2015-01-26,"Fog-Snow",8,25,43,92,30.15,29,10,33,71,30.05,20,5,16,15,-2,49,29.81,11,0,0.1,23
"51",2015-01-27,"Fog-Snow",8,14,45,92,29.76,19,4,32,85,29.59,17,1,22,11,7,77,29.49,14,0,0.95,335
"52",2015-01-28,"Snow",6,9,26,80,30.24,24,10,20,63,29.89,19,7,13,6,0,45,29.67,13,1,0.01,305
"53",2015-01-29,"None",3,22,17,75,30.32,32,10,13,57,30.23,21,10,4,10,-2,39,30.06,10,7,0,245
"54",2015-01-03,"Rain-Snow",7,36,25,100,30.68,37,10,22,72,30.54,30,6,10,20,8,43,30.24,22,1,0.62,81
"55",2015-01-30,"Snow",8,31,44,92,30.06,34,10,32,78,29.82,27,6,12,26,7,63,29.71,19,1,0.06,223
"56",2015-01-31,"Snow",5,7,48,83,30.04,21,10,36,56,29.84,16,6,22,0,-8,28,29.72,11,0,0.05,302
"57",2015-01-04,"Fog-Rain",8,50,26,100,30.16,52,10,17,95,29.81,44,4,8,41,34,89,29.57,35,0,0.57,260
"58",2015-01-05,"None",2,39,49,65,30.3,50,10,37,47,29.93,34,10,22,13,-6,29,29.61,17,10,0,280
"59",2015-01-06,"Snow",6,11,28,80,30.37,18,10,22,59,30.22,17,7,9,5,-5,37,30,15,1,0.02,262
"60",2015-01-07,"Snow",3,12,40,88,30.11,26,10,31,58,29.9,15,9,16,3,-13,28,29.76,4,2,0,272
"61",2015-01-08,"None",1,7,32,56,30.34,19,10,25,49,30.25,9,10,14,-8,-18,41,30.13,-1,10,0,259
"62",2015-01-09,"Snow",4,22,35,88,30.15,30,10,25,65,30,25,8,14,14,8,42,29.89,19,1,0.01,240
"63",2015-02-01,"None",4,11,29,67,30.16,30,10,22,48,30.12,21,10,12,2,-6,29,30.04,12,10,0,289
"64",2015-02-10,"Snow",7,21,24,88,30.13,30,10,21,76,30.1,22,8,11,15,10,63,30.06,14,1,0.05,359
"65",2015-02-11,"Snow",7,17,31,77,30.14,25,10,23,69,30.07,20,7,12,12,6,61,29.94,14,1,0.01,354
"66",2015-02-12,"Fog-Snow",8,25,21,92,29.92,30,10,16,77,29.76,23,6,5,17,7,61,29.69,16,0,0.03,321
"67",2015-02-13,"None",2,11,37,77,30.11,22,10,28,55,29.95,15,10,17,-5,-10,33,29.74,7,8,0,296
"68",2015-02-14,"Snow",6,29,24,100,30.1,30,10,22,73,29.77,17,6,10,11,-9,45,29.46,3,1,0.23,181
"69",2015-02-15,"Fog-Snow",6,18,51,92,29.82,20,10,33,71,29.49,9,3,21,9,-13,50,29.3,-2,0,0.39,320
"70",2015-02-16,"Snow",3,-6,41,56,30.04,19,10,31,44,29.91,8,9,20,-11,-16,31,29.81,-3,2,0,290
"71",2015-02-17,"Snow",7,18,18,84,30.03,23,10,14,63,29.93,17,7,8,6,-7,42,29.85,10,1,0.02,338
"72",2015-02-18,"Snow",8,23,17,81,29.95,29,10,14,66,29.83,23,8,5,16,8,50,29.7,17,1,0.01,337
"73",2015-02-19,"Snow",6,24,40,92,29.73,30,10,30,71,29.61,20,6,14,14,-5,50,29.53,10,1,0.06,263
"74",2015-02-02,"Fog-Snow",7,29,45,100,30.12,31,10,36,67,29.69,21,2,18,13,-5,34,29.48,10,0,0.78,360
"75",2015-02-20,"None",2,-4,35,55,30.43,20,10,28,45,30.04,13,10,19,-6,-10,34,29.74,5,10,0,273
"76",2015-02-21,"Rain-Snow",6,32,35,92,30.53,34,10,26,70,30.36,19,5,11,16,-5,48,30.16,4,1,0.17,201
"77",2015-02-22,"Rain-Snow",8,33,16,100,30.17,39,10,13,85,30.14,34,8,5,29,24,70,30.1,28,1,0.11,245
"78",2015-02-23,"None",5,23,35,72,30.32,33,10,25,51,30.18,19,10,15,2,-14,30,30.1,4,10,0,298
"79",2015-02-24,"Snow",6,15,24,80,30.33,19,10,20,60,30.18,11,10,9,-4,-15,39,29.88,2,5,0,221
"80",2015-02-25,"Snow",4,19,29,92,30.01,35,10,22,63,29.8,25,8,11,11,2,33,29.7,14,2,0.07,287
"81",2015-02-26,"Snow",8,16,21,84,30.12,22,10,18,65,30.05,20,8,9,8,2,45,29.97,17,1,0.02,351
"82",2015-02-27,"None",2,1,18,52,30.55,27,10,14,41,30.34,21,10,8,-2,-5,29,30.14,15,10,0,305
"83",2015-02-28,"None",0,4,20,58,30.75,31,10,15,43,30.69,22,10,9,1,-1,27,30.56,12,10,0,273
"84",2015-02-03,"Snow",1,7,33,73,30.31,22,10,24,56,30.12,14,9,13,1,-3,39,29.72,6,4,0,265
"85",2015-02-04,"None",7,30,26,75,30.32,38,10,20,64,30.16,26,10,9,17,3,53,29.94,14,10,0,209
"86",2015-02-05,"Fog-Rain-Snow",7,32,40,89,30.12,36,10,30,66,29.93,22,6,15,18,-7,42,29.82,7,0,0.09,303
"87",2015-02-06,"None",3,6,29,60,30.17,21,10,21,53,30.1,13,10,12,-1,-8,46,30.04,5,10,0,263
"88",2015-02-07,"Snow",7,27,26,92,30.1,29,10,20,74,30.05,23,7,11,17,5,55,30.01,16,1,0.07,226
"89",2015-02-08,"Snow",8,27,28,100,30.08,29,7,22,90,30.05,21,2,14,20,10,80,30.01,13,1,0.37,8
"90",2015-02-09,"Fog-Snow",8,21,32,92,30.16,25,4,26,86,30.12,20,1,15,14,10,80,30.08,14,0,0.88,351
"91",2015-03-01,"Snow",7,27,23,92,30.71,30,10,20,66,30.46,21,6,6,16,2,40,30.12,12,1,0.17,206
"92",2015-03-10,"Rain",7,39,21,100,30.34,48,10,17,69,30.19,40,8,7,28,19,37,30,31,1,0.06,193
"93",2015-03-11,"Fog-Rain",5,40,33,100,29.99,57,10,25,65,29.86,47,7,12,34,25,30,29.79,37,0,0.01,245
"94",2015-03-12,"None",2,27,41,59,30.56,43,10,32,42,30.28,34,10,17,12,1,25,29.94,25,10,0,315
"95",2015-03-13,"None",4,24,23,69,30.64,40,10,18,45,30.53,32,10,11,7,1,21,30.37,24,10,0,269
"96",2015-03-14,"Fog-Rain",7,39,20,100,30.36,39,10,15,80,30.03,35,4,8,32,19,59,29.63,31,0,0.8,56
"97",2015-03-15,"Fog-Rain-Snow",8,34,40,100,29.88,41,10,33,85,29.65,34,5,14,30,19,69,29.58,27,0,0.27,329
"98",2015-03-16,"None",2,23,25,63,29.95,45,10,18,41,29.86,36,10,9,14,5,19,29.77,26,10,0,275
"99",2015-03-17,"Rain-Snow",5,41,51,100,29.74,51,10,38,66,29.58,40,8,14,27,4,31,29.38,28,2,0.14,250
"100",2015-03-18,"None",1,7,52,46,30.08,30,10,36,35,29.88,26,10,22,0,-6,23,29.74,22,10,0,302
"101",2015-03-19,"None",1,0,41,39,30.34,34,10,30,30,30.19,27,10,16,-2,-4,21,30.09,19,10,0,306
"102",2015-03-02,"Rain-Snow",6,27,41,92,30.25,37,10,30,67,30.03,32,9,14,19,7,41,29.93,26,1,0.01,280
"103",2015-03-20,"Snow",7,26,26,100,30.4,32,10,12,67,30.32,28,7,4,13,0,33,30.19,23,1,0.05,150
"104",2015-03-21,"Snow",7,33,31,96,30.17,41,10,22,78,29.99,35,5,7,29,25,59,29.76,28,1,0.09,57
"105",2015-03-22,"None",1,23,48,54,30.11,39,10,33,38,29.93,30,10,18,5,-5,22,29.76,21,10,0,296
"106",2015-03-23,"None",0,6,31,49,30.23,33,10,24,38,30.13,26,10,15,0,-6,26,30.08,18,10,0,290
"107",2015-03-24,"None",4,24,16,72,30.35,35,10,13,59,30.31,28,10,8,15,6,46,30.24,20,10,0,214
"108",2015-03-25,"Rain",4,34,28,85,30.42,49,10,22,60,30.33,39,10,9,22,16,34,30.17,28,10,0.04,181
"109",2015-03-26,"Fog-Rain",8,52,23,100,30.16,56,10,16,86,29.82,47,5,9,45,35,71,29.64,38,0,0.8,223
"110",2015-03-27,"Rain",8,43,15,96,29.76,44,10,13,88,29.71,41,9,5,38,35,79,29.65,37,3,0.21,9
"111",2015-03-28,"Fog-Rain-Snow",8,36,30,96,30.02,40,10,24,78,29.81,35,4,13,30,19,59,29.71,30,0,0.12,355
"112",2015-03-29,"None",3,19,22,59,30.22,42,10,17,40,30.13,34,10,9,11,3,20,30.04,26,10,0,272
"113",2015-03-03,"Rain-Snow",6,31,32,92,30.41,33,10,24,60,30.17,27,6,10,14,1,28,29.8,20,1,0.26,213
"114",2015-03-30,"Rain-Snow",6,33,35,69,30.08,45,10,29,59,29.84,38,9,13,27,17,48,29.72,30,2,0,214
"115",2015-03-31,"None",3,28,29,70,29.79,50,10,20,51,29.73,44,10,12,24,18,31,29.69,37,10,0,279
"116",2015-03-04,"Rain",8,36,30,92,29.87,43,10,21,75,29.75,38,10,11,32,29,57,29.64,33,2,0.02,236
"117",2015-03-05,"Snow",8,28,28,76,30.32,39,10,20,56,30.07,29,9,12,11,-4,35,29.85,18,2,0,316
"118",2015-03-06,"None",2,11,29,62,30.51,24,10,23,48,30.42,17,10,10,-1,-8,34,30.29,9,10,0,277
"119",2015-03-07,"None",3,21,25,67,30.29,38,10,21,48,30.11,28,10,11,12,6,29,29.95,17,10,0,226
"120",2015-03-08,"Snow",4,27,32,78,30.12,42,10,25,58,30.03,33,10,9,20,13,38,29.94,24,7,0,247
"121",2015-03-09,"None",3,22,37,81,30.24,48,10,25,56,30.11,37,10,10,19,16,31,30.05,26,10,0,242
"122",2015-04-01,"None",1,16,28,40,30.17,47,10,21,29,29.99,39,10,10,7,1,17,29.79,30,10,0,332
"123",2015-04-10,"Rain",8,52,25,100,30.3,55,10,20,95,29.94,46,4,8,42,36,89,29.65,36,0,0.09,114
"124",2015-04-11,"None",1,50,39,89,30.1,57,10,30,61,29.86,50,10,17,32,26,32,29.72,42,10,0,274
"125",2015-04-12,"None",1,35,22,59,30.29,68,10,16,39,30.21,54,10,9,28,25,19,30.12,39,10,0,258
"126",2015-04-13,"None",3,42,29,66,30.36,69,10,24,43,30.26,55,10,12,34,27,20,30.14,41,10,0,194
"127",2015-04-14,"Rain",6,52,35,80,30.13,65,10,25,54,30.08,59,10,11,39,30,28,30.03,52,10,0.01,245
"128",2015-04-15,"None",1,31,35,39,30.38,67,10,25,28,30.15,59,10,12,23,16,16,30.06,50,10,0,325
"129",2015-04-16,"None",3,32,26,67,30.51,60,10,23,46,30.39,51,10,10,23,16,24,30.26,41,10,0,130
"130",2015-04-17,"Rain",6,54,28,89,30.24,65,10,22,70,29.99,56,10,13,47,30,50,29.86,47,7,0.06,237
"131",2015-04-18,"None",1,47,35,89,30.09,60,10,28,68,29.94,52,10,9,42,38,47,29.83,43,10,0,14
"132",2015-04-19,"None",3,38,24,76,30.29,50,10,18,66,30.23,46,10,11,34,32,56,30.09,41,10,0,75
"133",2015-04-02,"None",5,37,37,61,30.25,61,10,29,44,30.1,46,10,13,20,8,27,29.88,30,10,0,223
"134",2015-04-20,"Rain",8,51,32,100,30.25,51,10,25,90,30.02,46,6,14,42,35,79,29.73,41,1,0.61,107
"135",2015-04-21,"Fog-Rain-Thunderstorm",6,57,94,100,29.75,65,10,20,71,29.6,56,5,10,49,36,42,29.53,46,0,0.54,184
"136",2015-04-22,"Rain",3,46,41,89,29.8,67,10,35,59,29.69,55,10,15,39,32,28,29.53,43,10,0,186
"137",2015-04-23,"None",5,40,33,71,29.7,51,10,25,49,29.62,45,10,16,27,18,27,29.54,38,10,0,272
"138",2015-04-24,"Snow",5,28,36,64,29.79,50,10,23,49,29.73,44,10,16,24,20,34,29.7,37,3,0,292
"139",2015-04-25,"None",3,33,29,60,29.79,56,10,18,46,29.74,46,10,11,26,21,32,29.68,36,10,0,315
"140",2015-04-26,"None",7,39,20,71,29.72,56,10,14,53,29.66,50,10,6,33,28,35,29.62,43,10,0,344
"141",2015-04-27,"Rain",7,44,29,63,29.63,57,10,22,52,29.59,51,10,12,37,32,40,29.53,45,6,0.1,324
"142",2015-04-28,"Rain",5,42,35,76,29.78,64,10,26,51,29.68,53,10,14,35,29,26,29.62,42,4,0.07,8
"143",2015-04-29,"None",5,41,18,77,29.8,54,10,16,64,29.7,51,10,9,38,36,50,29.59,48,10,0,91
"144",2015-04-03,"Rain",8,50,31,100,29.86,59,10,24,80,29.76,52,9,12,45,39,59,29.65,45,3,0.03,221
"145",2015-04-30,"None",6,42,18,89,29.98,55,10,15,72,29.88,50,10,9,40,37,55,29.79,44,10,0,89
"146",2015-04-04,"Fog-Rain-Thunderstorm",6,48,49,100,30.08,52,10,37,66,29.63,44,6,16,36,13,31,29.4,36,0,0.39,269
"147",2015-04-05,"None",4,30,36,76,30.26,49,10,28,49,30.13,41,10,15,21,10,21,30.09,32,10,0,243
"148",2015-04-06,"None",7,37,21,92,30.4,42,10,17,74,30.3,39,10,9,31,26,55,30.22,36,10,0,70
"149",2015-04-07,"Rain",8,37,18,92,30.4,42,10,15,84,30.3,39,9,8,36,34,76,30.21,36,7,0.03,29
"150",2015-04-08,"Rain-Snow",6,34,30,92,30.51,42,10,24,73,30.43,38,8,17,31,25,54,30.37,34,4,0.26,52
"151",2015-04-09,"Rain",8,36,30,100,30.42,37,6,25,95,30.37,35,2,17,34,32,89,30.3,33,1,0.09,58
"152",2015-05-01,"None",6,41,22,92,30.02,49,10,17,82,30,44,10,8,39,37,71,29.97,39,10,0,85
"153",2015-05-10,"None",6,64,29,100,30.22,89,10,22,67,30.12,74,10,14,61,55,34,30.02,59,7,0,221
"154",2015-05-11,"None",6,65,24,93,30.14,80,10,21,78,30.1,65,9,10,55,48,62,30.06,50,5,0,68
"155",2015-05-12,"Rain",7,61,33,100,30.04,87,10,25,66,29.82,68,6,9,52,48,31,29.62,48,0,0.02,75
"156",2015-05-13,"None",1,43,35,59,30.22,69,10,28,44,29.97,61,10,14,37,31,29,29.77,53,10,0,305
"157",2015-05-14,"None",1,43,24,54,30.34,69,10,22,36,30.28,59,10,9,34,23,17,30.24,49,10,0,281
"158",2015-05-15,"None",5,49,18,64,30.31,67,10,15,47,30.25,58,10,6,39,32,29,30.2,48,10,0,134
"159",2015-05-16,"None",8,57,21,90,30.21,71,10,17,67,30.17,63,10,8,50,37,44,30.12,55,10,0,194
"160",2015-05-17,"None",3,59,18,100,30.22,67,10,15,89,30.13,60,8,8,56,52,78,30.09,52,0,0,97
"161",2015-05-18,"Fog",6,52,NA,100,30.3,58,10,16,79,30.23,54,8,10,48,43,57,30.12,49,0,0,72
"162",2015-05-19,"Rain",8,63,23,100,30.09,65,10,16,92,29.9,59,8,10,56,48,83,29.72,52,2,0.27,203
"163",2015-05-02,"None",4,43,16,92,30.04,50,10,13,82,30,45,10,7,40,37,71,29.96,39,10,0,103
"164",2015-05-20,"None",4,63,35,93,29.92,66,10,26,65,29.78,59,10,14,41,30,36,29.7,51,7,0,288
"165",2015-05-21,"None",4,41,23,61,29.98,67,10,17,44,29.91,56,10,10,36,30,26,29.85,45,10,0,211
"166",2015-05-22,"Rain",4,44,37,64,30.06,76,10,26,40,29.86,64,10,13,34,24,16,29.78,52,10,0,264
"167",2015-05-23,"None",0,32,32,50,30.33,65,10,22,34,30.26,55,10,13,23,18,18,30.07,44,10,0,285
"168",2015-05-24,"None",3,48,30,59,30.29,83,10,23,40,30.22,67,10,16,39,33,20,30.14,51,10,0,237
"169",2015-05-25,"Rain",6,57,26,73,30.24,81,10,20,54,30.2,70,10,11,52,49,35,30.15,58,10,0,209
"170",2015-05-26,"None",6,62,28,73,30.16,87,10,23,59,30.12,76,10,16,58,53,44,30.09,64,10,0,217
"171",2015-05-27,"None",4,66,32,87,30.16,85,10,26,71,30.12,75,10,16,63,59,55,30.06,65,10,0,207
"172",2015-05-28,"Rain",6,67,29,87,30.21,86,10,23,69,30.12,75,10,13,62,55,51,30.04,64,10,0,216
"173",2015-05-29,"Fog",4,61,20,100,30.31,72,10,17,80,30.27,64,8,8,57,54,59,30.22,55,0,0,48
"174",2015-05-03,"None",4,48,21,76,30.15,67,10,17,61,30.06,56,10,9,42,39,45,30.01,45,10,0,176
"175",2015-05-30,"None",2,63,33,93,30.22,88,10,26,66,30.12,73,10,15,60,56,39,30.03,58,10,0,205
"176",2015-05-31,"Rain",7,69,36,100,30.28,77,10,31,85,30.14,63,8,14,55,46,69,30.02,48,1,0.91,28
"177",2015-05-04,"None",2,48,37,80,30.19,84,10,30,52,30.13,67,10,13,43,37,23,30.06,49,10,0,206
"178",2015-05-05,"Rain",5,59,25,93,30.22,70,10,21,66,30.16,62,10,10,50,41,39,30.07,54,7,0.02,183
"179",2015-05-06,"None",3,52,25,89,30.31,73,10,20,59,30.24,63,10,9,40,31,29,30.16,52,10,0,122
"180",2015-05-07,"None",1,45,28,47,30.21,79,10,22,34,30.14,66,10,11,38,30,21,30.05,53,10,0,205
"181",2015-05-08,"None",4,46,25,86,30.32,71,10,22,61,30.2,59,10,12,43,40,35,30.09,46,9,0,35
"182",2015-05-09,"None",7,60,23,97,30.37,71,10,18,82,30.3,59,9,8,50,43,66,30.21,46,3,0,117
"183",2015-06-01,"Rain",8,48,26,100,30.27,49,6,21,97,30.25,48,3,14,47,46,93,30.23,47,2,0.38,43
"184",2015-06-10,"None",3,59,26,78,29.85,82,10,20,54,29.8,72,10,11,54,47,30,29.71,62,10,0,245
"185",2015-06-11,"None",7,66,29,78,29.91,88,10,22,56,29.82,76,9,14,58,48,33,29.78,64,7,0,248
"186",2015-06-12,"None",6,67,24,79,30.01,79,10,18,60,29.92,72,10,9,55,49,41,29.77,65,10,0,202
"187",2015-06-13,"None",6,68,26,84,29.99,85,10,21,56,29.87,75,10,9,59,47,27,29.72,64,10,0,2
"188",2015-06-14,"None",5,56,21,73,30.12,74,10,17,56,30.06,68,10,10,51,45,38,29.99,62,10,0,67
"189",2015-06-15,"Rain",8,56,23,100,30.14,63,10,21,84,30.09,59,5,9,53,51,67,30.04,54,1,0.4,113
"190",2015-06-16,"Rain",7,66,18,100,30.01,71,10,13,91,29.88,64,6,5,59,56,81,29.78,56,0,0,87
"191",2015-06-17,"None",5,56,28,73,30.18,69,10,23,55,30.14,64,10,10,46,38,37,30.08,59,10,0,111
"192",2015-06-18,"None",5,54,23,72,30.14,76,10,17,59,30.04,67,10,10,49,45,46,29.93,57,10,0,189
"193",2015-06-19,"None",6,63,26,84,30.05,86,10,20,64,29.9,75,10,10,57,47,43,29.85,63,10,0,272
"194",2015-06-02,"Rain",8,46,26,100,30.22,49,10,20,93,30.19,48,7,11,45,44,86,30.17,46,2,0.74,33
"195",2015-06-20,"None",5,58,23,78,30.15,75,10,18,64,30.1,67,10,9,51,46,49,30.03,58,10,0.04,76
"196",2015-06-21,"Rain",8,72,22,100,29.96,76,10,17,91,29.74,68,5,6,65,59,82,29.63,60,0,1.72,92
"197",2015-06-22,"Fog",6,65,15,100,29.99,77,10,13,84,29.85,69,5,6,62,60,68,29.76,61,0,0,89
"198",2015-06-23,"Rain",6,72,33,100,29.96,88,10,28,80,29.81,74,10,12,66,59,60,29.68,60,9,0.01,201
"199",2015-06-24,"None",2,60,28,73,29.97,84,10,20,52,29.9,76,10,11,54,46,30,29.78,67,10,0,298
"200",2015-06-25,"None",4,61,21,76,30.03,81,10,15,56,29.98,73,10,7,55,52,36,29.93,64,10,0,292
"201",2015-06-26,"Rain",5,58,20,84,30.09,72,10,16,68,30.01,66,10,8,53,46,52,29.94,59,10,0,41
"202",2015-06-27,"Rain",6,58,0,93,30.19,68,10,38,76,30.14,63,10,8,55,48,58,30.09,57,7,0.2,108
"203",2015-06-28,"Rain",8,59,36,100,30.07,59,7,29,94,29.8,56,3,18,56,51,87,29.69,52,1,1.43,39
"204",2015-06-29,"None",7,61,21,93,29.94,75,10,15,80,29.84,64,9,7,56,50,66,29.78,53,2,0,216
"205",2015-06-03,"None",7,48,NA,93,30.31,56,10,14,82,30.24,52,10,7,45,43,71,30.19,47,10,0,90
"206",2015-06-30,"None",4,62,17,97,30.01,75,10,14,81,29.97,68,10,7,60,57,64,29.94,60,10,0,155
"207",2015-06-04,"None",5,46,21,86,30.35,58,10,16,74,30.3,54,10,6,45,42,61,30.24,49,10,0,113
"208",2015-06-05,"None",5,51,22,93,30.24,59,10,20,83,30.09,55,10,8,48,45,72,29.93,50,10,0,106
"209",2015-06-06,"Rain",5,55,28,100,30.08,67,10,20,73,29.94,60,10,7,51,39,46,29.85,52,2,0.09,54
"210",2015-06-07,"None",3,47,23,60,30.23,67,10,21,47,30.16,60,10,11,40,35,34,30.09,53,10,0,76
"211",2015-06-08,"Rain",6,58,40,89,30.13,76,10,29,71,29.95,65,10,17,53,42,52,29.82,53,10,0,200
"212",2015-06-09,"Rain",6,65,26,93,29.79,78,10,23,81,29.7,71,10,13,63,59,69,29.63,64,9,0,199
"213",2015-07-01,"Rain-Thunderstorm",6,68,28,100,29.93,82,10,22,78,29.78,72,8,10,64,60,55,29.68,62,0,0.5,164
